Author,h-index
"Yi, Lei",6
"Zhou, Zengding",6
"Yi, Xin",0
"Chen, Hongsai",0
"Liang, Xiao",0
"Jin, Rui",0
"Huang, Xiaoqin",5
"Wu, Zhuhua",0
"Zhu, Li",0
"Nie, Xinran",0
"Liu, Yingli",0
"Zhang, Xiaoju",0
"Qi, Yong",0
"Feng, Chiguang",0
"Cross, Alan S.",0
"Vasta, Gerardo R.",0
"Shen, Kuo",2
"Wang, Xujie",1
"Wang, Yunwei",1
"Jia, Yanhui",2
"Zhang, Yue",1
"Wang, Kejia",1
"Luo, Liang",2
"Cai, Weixia",2
"Li, Jin",2
"Li, Shaohui",1
"Du, Yuting",1
"Zhang, Lixia",1
"Zhang, Hao",1
"Chen, Yuxi",1
"Xu, Chaolei",1
"Zhang, Jinxin",1
"Wang, Ruizhi",1
"Yang, Xuekang",2
"Wang, Yunchuan",1
"Hu, Dahai",3
"Deng, Yue",1
"Huang, Xingming",1
"Hu, Yan",1
"Zhong, Weiting",1
"Zhang, Hua",1
"Mo, Chunheng",1
"Wang, Hongjun",1
"Ding, Bi-Sen",2
"Wang, Chen",2
"Chen, Xiaorui",1
"Qi, Di",5
"Fan, Shulei",3
"He, Yirui",0
"Jing, Hekun",0
"Wang, Daoxin",6
"Conger, Adrienne K.",0
"Tomasek, Toria",0
"Riedmann, Kyle J.",0
"Douglas, Joel S.",0
"Berkey, Lucia E.",0
"Ware, Lorraine B.",2
"Bastarache, Julie A.",2
"Meegan, Jamie E.",0
"Jo, Ara",1
"Kim, Dae Woo",1
"Zhang, Huiling",0
"Zhang, Xuedi",0
"Ling, Chunxiu",0
"Liu, Change",0
"Hua, Shaodong",0
"Xiong, Ziying",0
"Zhao, Huimin",0
"Feng, Qiushuang",0
"Feng, Zhichun",0
"Tang, Jing",0
"Hong, Xiaoyang",0
"Moraes, Carla Roberta Peachazepi",1
"Borba-Junior, Ivanio Teixeira",1
"de Lima, Franciele",1
"Silva, Jessica Ribeiro Alves",1
"Bombassaro, Bruna",1
"Palma, Andre C.",1
"Mansour, Eli",1
"Velloso, Licio Augusto",1
"Orsi, Fernanda Andrade",1
"Costa, Fabio Trindade Maranhao",1
"De Paula, Erich Vinicius",1
"von Ehrlich, Bodo",0
"Kisters, Klaus",0
"Nguyen-Duong, Hoang",0
"Luo, Yuling",1
"Ge, Shanhui",2
"Chen, Qingui",2
"Lin, Shan",1
"He, Wanmei",2
"Zeng, Mian",2
"Li, Narengerile",0
"Xu, Xiyuan",0
"Qi, Zhimin",0
"Gao, Chanchan",0
"Zhao, Pengfei",0
"Yang, Jingping",0
"Damirin, Alatangaole",0
"Ouyang, Huijuan",0
"Wang, Yi",0
"Wu, Jie",1
"Ji, Yanli",0
"Tan, Ying Ying",1
"O'Dea, Kieran P.",2
"Tsiridou, Diianeira Maria",1
"Soo, Aurelie Pac",1
"Koh, Marissa W.",1
"Beckett, Florence",1
"Takata, Masao",2
"Xiao, Qiaosu",0
"He, Wenyang",0
"Zyrianova, Tatiana",1
"Zou, Kathlyn",0
"Lopez, Benjamin",1
"Liao, Andy",1
"Gu, Charles",1
"Olcese, Riccardo",1
"Schwingshackl, Andreas",1
"Zhang, Mei-Ling",1
"Wang, Meng",1
"Chen, Jian",1
"Liu, Yan-Jie",1
"Yu, Ya-Jie",1
"Liu, Li-Min",1
"Zheng, Xiao-Hui",1
"Xiao, Ying-Chou",1
"Zhang, Jun-Ming",1
"Zhu, Meng-Xue",1
"Yue, Xian",1
"Zhao, Ye",1
"Niu, Wen",1
"Li, Zhichao",2
"Borrmann, Melanie",0
"Brandes, Florian",0
"Kirchner, Benedikt",0
"Klein, Matthias",0
"Billaud, Jean-Noel",0
"Reithmair, Marlene",0
"Rehm, Markus",0
"Schelling, Gustav",0
"Pfaffl, Michael W.",0
"Meidert, Agnes S.",0
"Min, Simin",0
"Tao, Weiting",0
"Ding, Dushan",0
"Zhang, Xiaonan",0
"Zhao, Shidi",0
"Zhang, Yong",1
"Liu, Xiaojie",0
"Gao, Kefei",0
"Liu, Saisai",0
"Li, Li",1
"Hou, Min",0
"Li, Nan",1
"Li, Yuqiang",1
"Wu, Bin",1
"Sun, Rongli",1
"Zhao, Mingzhou",1
"Hu, Zhansheng",1
"Liu, Huang",1
"Shi, Qingqiang",1
"Tang, Ling",1
"Wang, Hanghang",1
"Sun, Xiaoguang",9
"Sammani, Saad",12
"Hufford, Matthew",0
"Sun, Belinda L. L.",0
"Kempf, Carrie L.",3
"Camp, Sara M.",8
"Garcia, Joe G. N.",23
