Author,Citations
"Yang, Yanli",8
"Wang, Beibei",17
"Dong, Nian",4
"Wu, Dengmin",4
"Fang, Ya",4
"Chen, Junjie",4
"Lin, Yuting",4
"Bellusci, Saverio",4
"Zhang, Jin-San",4
"Dai, Kezhi",4
"Chen, Chengshui",4
"Ji, Peng",7
"Han, Shichao",7
"Zhang, Wanfu",7
"Hu, Xiaolong",7
"Han, Juntao",10
"Chen, Xiu",1
"Zhang, Jianlan",1
"Weng, Fangfang",1
"dos Santos, Claudia C.",69
"Amatullah, Hajera",69
"Vaswani, Chirag M.",20
"Maron-Gutierrez, Tatiana",86
"Kim, Michael",20
"Mei, Shirley H. J.",34
"Szaszi, Katalin",92
"Monteiro, Ana Paula Teixeira",55
"Varkouhi, Amir K.",55
"Herreroz, Raquel",20
"Tsoporis, James N.",55
"Gupta, Sahil",55
"Ektesabi, Amin",20
"Kavantzas, Nikolaos",20
"Salpeas, Vasileios",20
"Marshall, John C.",55
"Marsden, Philip A.",34
"Weiss, Daniel J.",20
"Stewart, Duncan J.",34
"Hu, Pingzhao",34
"Liles, W. Conrad",34
"Gao, Pei",0
"Wu, Beirong",0
"Ding, Ying",0
"Yin, Bingru",0
"Gu, Haoxiang",0
"Gintoni, Iphigenia",11
"Adamopoulou, Maria",11
"Yapijakis, Christos",11
"Mao, Fangli",1
"Wu, Aiping",1
"Sachetto, Ana Teresa Azevedo",3
"Mackman, Nigel",3
"Wang, Lichun",136
"Letsiou, Eleftheria",400
"Meliton, Lucille N.",38
"Brown, Mary E.",34
"Chen, Jiwang",39
"Wang, Yuhui",1
"Pan, Linyan",1
"Xia, Demeng",0
"Liu, Anwei",0
"Li, Lei",23
"Zhou, Panyu",0
"Xu, Shuogui",0
"Xu, Jiaxin",10
"Xu, Dan",34
"Yu, Zhizhong",10
"Fu, Zhaohui",10
"Lv, Zheng",10
"Meng, Lei",10
"Zhao, Xin",16
"Yang, Wenjun",12
"Zhang, Yang",12
"Lu, Dahao",12
"Huang, Tianfeng",12
"Yan, Keshi",12
"Wang, Weiwei",3
"Gao, Ju",12
"Zhang, Qinqin",0
"Wang, Zhilan",0
"Zhu, Jinfei",0
"Peng, Zhili",0
"Tang, Cheng",0
"Zhong, Peng",5
"Zhou, Miao",5
"Zhang, Jingjing",5
"Peng, Jianye",5
"Zeng, Gaofeng",5
"Huang, He",5
"Wu, Lan",2
"Cheng, Yan",23
"Peng, Shunxiang",2
"Zhang, Wensheng",2
"Zhang, Chaoxiong",2
"Xu, Meng-meng",20
"Fan, Chen",20
"Feng, Chun-lan",20
"Lu, Qiu-kai",20
"Lu, Hui-min",20
"Xiang, Cai-gui",20
"Bai, Fang",20
"Wang, Hao-yu",20
"Wu, Yan-wei",20
"Tang, Wei",20
Geng Ping,0
"Ling, Bingyu",4
Zhang Hong-liang,0
Xiong Jia-li,0
Wang Ying,0
Yu Fen,0
"Tan, Dingyu",4
Xu Ji-yang,0
Wang Hui-hui,0
"Hu, Ji",4
"Chen, Ru",4
"An, Jie",4
"Wang, Yilong",4
"Liang, Minglu",4
"Maehara, Toko",3
"Fujimori, Ko",3
"Takahashi, Yukiko",5
"Kawasaki, Takeshi",147
"Sato, Hironori",5
"Hasegawa, Yoshinori",33
"Ohara, Osamu",5
"Tatsumi, Koichiro",227
"Suzuki, Takuji",27
"Zhang, Jingli",3
"Liu, Lixia",3
"Duan, Xufeng",2
"Yang, Yingbo",2
"Yang, Aping",2
"Zhao, Yan",144
"Fan, Fengjuan",2
"Niu, Leilei",2
"Hao, Nan",2
"Esquivel-Ruiz, Sergio",5
"Lorente, Jose Angel",44
"Perez-Vizcaino, Francisco",30
"Moreno, Laura",30
"Edwards, Christopher",0
"Yuan, Yifan",2
"Leiby, Katherine L.",2
"Greaney, Allison M.",2
"Raredon, Micha Sam Brickman",2
"Qian, Hong",2
"Schupp, Jonas C.",2
"Engler, Alexander J.",2
"Baevova, Pavlina",2
"Adams, Taylor S.",2
"Kural, Mehmet H.",2
"Wang, Juan",18
"Obata, Tomohiro",2
"Yoder, Mervin C.",2
"Kaminski, Naftali",2
"Niklason, Laura E.",2
"Hu, Mu",5
"Yang, Jielai",5
"Xu, Yang",5
"Peng, Min",0
"Yan, Qing-He",0
"Gao, Ying",0
"Zhang, Zhen",0
"Zhang, Ying",43
"Wang, Yi-Feng",0
"Wu, He-Ning",0
"Beyer, Andreas M.",5
"Toro, Laura E. Norwood",5
"Hughes, William E.",5
"Young, Micaela",5
"Clough, Anne, V",5
"Gao, Feng",5
"Medhora, Meetha",20
"Audi, Said H.",45
"Jacobs, Elizabeth R.",45
"Gerard, Ludovic",35
"Lecocq, Marylene",35
"Bouzin, Caroline",35
"Hoton, Delphine",35
"Schmit, Gregory",35
"Pereira, Joao Pinto",35
"Montiel, Virginie",35
"Plante-Bordeneuve, Thomas",35
"Laterre, Pierre-Francois",35
"Pilette, Charles",35
"Tsai, Hsiao-Ya",10
"Hsu, Yu-Juei",10
"Lu, Cheng-Yo",10
"Tsai, Min-Chien",16
"Hung, Wan-Chu",10
"Chen, Po-Chuan",10
"Wang, Jen-Chun",10
"Hsu, Lung-An",10
"Yeh, Yung-Hsin",10
"Chu, Pauling",10
"Tsai, Shih-Hung",10
"Liu, Jing",14
"Dean, David A.",24
"Zhao, Meng-jiao",9
"Jiang, Hao-ran",9
"Sun, Jing-wen",9
"Wang, Zi-ang",9
"Hu, Bo",34
"Zhu, Cheng-rui",9
"Yin, Xiao-han",9
"Ma, Xiao-chun",9
"Zhao, Wei-dong",9
"Luan, Zhenggang",34
"Huang, Li-Li",3
"Xie, Jian-Feng",3
"Yang, Cong-Shan",3
"Bayat, Behnaz",140
"Nielsen, Kaspar Rene",7
"Bein, Gregor",72
"Traum, Annalena",7
"Burg-Roderfeld, Monika",7
"Sachs, Ulrich J. H.",176
"Kong, Xiaoxia",8
"Lin, Daopeng",8
"Lu, Liling",8
"Lin, Lidan",8
"Zhang, Hongyu",8
"Zhang, Hailin",8
"Li, Yingying",6
"Feng, Yingjun",6
"Ye, Xiaoyun",6
"Peng, Hanlin",6
"Du, Jiantong",6
"Yao, Xiaoli",6
"Huang, Yaqian",6
"Jin, Hongfang",6
"Du, Junbao",6
"Chen, Dan-Qian",6
"Shen, Mei-Jia",6
"Tang, A-Ling",6
"Li, Shan",6
"Xiong, Meng-Chen",6
"Guo, Yan",22
"Zhang, Guo-Qiang",6
"Li, Junxia",5
"Xia, Yiming",5
"Huang, Zhizhong",5
"Xiong, Renping",5
"Li, Xiaoxu",5
"Huang, Qingyuan",5
"Shan, Fabo",5
"Qiao, Qi",37
"Liu, Xiong",37
"Yang, Ting",37
"Cui, Kexin",37
"Kong, Li",37
"Yang, Conglian",37
"Zhang, Zhiping",37
"Saren, Gaowa",6
"Wong, Aaron",6
"Lu, Yun-Bi",6
"Baciu, Cristina",6
"Zhou, Wenyong",6
"Zamel, Ricardo",6
"Soltanieh, Sahar",6
"Sugihara, Junichi",6
"Liu, Mingyao",61
"Sriram, Krishna",5
"Insel, Michael B.",5
"Insel, Paul A.",5
"Albini, Adriana",14
"Calabrone, Luana",14
"Carlini, Valentina",14
"Benedetto, Nadia",14
"Lombardo, Michele",14
"Bruno, Antonino",14
"Noonan, Douglas M.",14
"Tirunavalli, Satya Krishna",15
"Gourishetti, Karthik",15
"Kotipalli, Rama Satya Sri",15
"Kuncha, Madusudhana",15
"Kathirvel, Muralidharan",15
"Kaur, Rajwinder",15
"Jerald, Mahesh Kumar",15
"Sistla, Ramakrishna",15
"Andugulapati, Sai Balaji",15
"Lai, Yan",2
"Huang, Yongbo",5
"Colamonici, Marco A.",4
"Ding, Ru",6
"Sun, Xiaobo",6
"Yi, Bing",6
"Liu, Wennan",6
"Kazama, Kyosuke",6
"Xu, Xinyun",6
"Deshpande, Deepak A.",6
"Liang, Chun",6
"Sun, Jianxin",68
"Gorbunova, Elena E.",60
"Mackow, Erich R.",60
"Ji, Wangquan",7
"Hu, Qiang",7
"Zhang, Mengdi",7
"Zhang, Chuwen",7
"Chen, Chen",7
"Yan, Yujie",7
"Zhang, Xue",18
"Chen, Shuaiyin",7
"Tao, Ling",7
"Zhang, Weiguo",7
"Jin, Yuefei",7
"Duan, Guangcai",7
"Xu, Caixia",11
"Namba, Takahiro",3
"Tsuge, Mitsuru",5
"Yashiro, Masato",5
"Saito, Yukie",5
"Liu, Keyue",3
"Nishibori, Masahiro",3
"Morishima, Tsuneo",5
"Tsukahara, Hirokazu",5
"Ren, Yi",14
"Li, Liang",14
"Wang, Meng-Meng",14
"Cao, Li-Ping",14
"Sun, Zhao-Rui",14
"Yang, Zhi-Zhou",14
"Zhang, Wei",83
"Zhang, Peng",104
"Nie, Shi-Nan",14
"Wang, Li",46
"Tang, Xingming",9
"Li, Shuping",9
"Liu, Shinan",4
"Gao, Shuai",4
"Yang, Zhaoyu",4
"Gong, Xiaolei",5
"Zhu, Limin",5
"Liu, Jinlong",5
"Li, Chunxiang",5
"Xu, Zhuoming",5
"Liu, Jinfen",5
"Zhang, Haibo",40
"Biancatelli, Ruben M. L. Colunga",60
"Solopov, Pavel A.",66
"Sharlow, Elizabeth R.",60
"Lazo, John S.",60
"Marik, Paul E.",60
"Catravas, John D.",319
"Luo, Shu",3
"Ding, Xuefeng",3
"Zhao, Shiqiao",3
"Mou, Tianyi",3
"Li, Ruixiu",3
"Cao, Xiaoping",3
"Szturmowicz, Monika",31
"Demkow, Urszula",31
"Trittmann, Jennifer K.",11
"Jin, Yi",11
"Liu, Yusen",11
"Nelin, Leif D.",11
"Yegambaram, Mannivannan",2
"Lu, Qing",341
"Dai, Yuan",5
"Liu, Jiali",5
"Zhang, Xiaojin",12
"Min, Xinxu",5
"Wu, Jun",56
"Du, Shuya",5
"Li, Tingting",20
"Liu, Li",12
"Ding, Zhengnian",12
"Antunes, Mariana A.",6
"Oliveira, Milena, V",5
"Hemerly, Matheus R.",5
"Santos, Patrine S.",5
"Li, Guang",33
"Wang, Bo",12
"Ding, Xiangchao",12
"Zhang, Xinghua",12
"Tang, Jian",31
"Lin, Huiqing",12
"Dubrovskyi, Oleksii",41
"Hasten, Erica",1
"Flavin, Michael T.",1
"Chan, Leo Li-Ying",1
"Feng, Jun",0
"Liu, Lina",0
"He, Yang",0
"Zhou, Daixing",0
"Wang, Junshuai",0
"Akhter, Md Zahid",12
"Joshi, Jagdish Chandra",14
"Balaji Ragunathrao, Vijay Avin",12
"Maienschein-Cline, Mark",12
"Proia, Richard L.",12
"Malik, Asrar B.",826
"Mehta, Dolly",631
"Wang, Xin-Yang",42
"Li, Xin-Yu",42
"Wu, Cheng-Hua",9
"Hao, Yu",70
"Fu, Pan-Han",9
"Mei, Hong-Xia",9
"Chen, Fang",9
"Gong, Yuqiang",50
"Jin, Sheng-Wei",42
"Li, Hui",42
"Caccuri, Francesca",21
"Bugatti, Antonella",21
"Zani, Alberto",21
"De Palma, Antonella",21
"Di Silvestre, Dario",21
"Manocha, Ekta",21
"Filippini, Federica",21
"Messali, Serena",21
"Chiodelli, Paola",21
"Campisi, Giovanni",21
"Fiorentini, Simona",21
"Facchetti, Fabio",21
"Mauri, Pierluigi",21
"Caruso, Arnaldo",21
"Htwe, Yu Maw",84
"Silva, Johnatas Dutra",56
"Su, Yue",56
"Calfee, Carolyn S.",56
"Delucchi, Kevin L.",56
"Weiss, Daniel",56
"McAuley, Danny F.",85
"O'Kane, Cecilia M.",135
"Krasnodembskaya, Anna D.",56
"Sims, Amy C.",9
"Mitchell, Hugh D.",9
"Gralinski, Lisa E.",9
"Kyle, Jennifer E.",9
"Burnum-Johnson, Kristin E.",9
"Lam, Mariam",9
"Fulcher, M. Leslie",9
"West, Ande",9
"Smith, Richard D.",9
"Randell, Scott H.",9
"Metz, Thomas O.",9
"Sheahan, Timothy P.",9
"Waters, Katrina M.",9
"Baric, Ralph S.",9
"Zacharis, Alexandros",21
"Jahaj, Edison",21
"Pratikaki, Maria",21
"Gallos, Parisis",21
"Smadja, David M.",75
"Mentzer, Steven J.",75
"Fontenay, Michaela",75
"Laffan, Mike A.",75
"Helms, Julie",75
"Chocron, Richard",75
"Pier, Gerald B.",75
"Gendron, Nicolas",75
"Pons, Stephanie",75
"Diehl, Jean-Luc",75
"Margadant, Coert",87
"Guerin, Coralie",75
"Huijbers, Elisabeth J. M.",75
"Philippe, Aurelien",75
"Chapuis, Nicolas",75
"Nowak-Sliwinska, Patrycja",75
"Karagiannidis, Christian",75
"Sanchez, Olivier",167
"Kuempers, Philipp",75
"Skurnik, David",75
"Randi, Anna M.",75
"Griffioen, Arjan W.",75
"Mertes, Paul-Michel",7
"Collange, Olivier",7
"Coliat, Pierre",7
"Banerjee, Mainak",7
"Diringer, Marie-Charlotte",7
"Roche, Anne",7
"Delabranche, Xavier",7
"Chaban, Vitaliy",7
"Voegelin, Manon",7
"Bernard, Alexandre",7
"Sartori, Valerie",7
"Laurent, Nina",7
"Velten, Michel",7
"Dhindsa, Navreet",7
"Defuria, Jason",7
"Kim, Gwangseong",7
"Xu, Zhenghong Hannah",7
"Theodorou, Marina",7
"Huang, Zhaohua Richard",7
"Khalifa, Kaniz",7
"Geng, Bolin",7
"Niyikiza, Clet",7
"Moyo, Victor",7
"Gizzi, Patrick",7
"Villa, Pascal",7
"Detappe, Alexandre",7
"Pivot, Xavier",7
"Wang, Gang",5
"Xue, Lei",8
"Wu, Yunfei",8
"Yang, Qiang",8
"Liu, Degang",8
"Yu, Changhui",8
"Peng, Jiangzhou",8
"Colunga Biancatelli, Ruben M. L.",6
"Gregory, Betsy",46
"Li, Wei",26
"Long, Lu",22
"Yang, Xudong",22
"Tong, Zhen",22
"Southwood, Mark",22
"King, Ross",22
"Caruso, Paola",22
"Upton, Paul D.",22
"Yang, Peiran",22
"Bocobo, Geoffrey A.",22
"Nikolic, Ivana",22
"Higuera, Angelica",22
"Salmon, Richard M.",22
"Jiang, He",22
"Lodge, Katharine M.",22
"Hoenderdos, Kim",22
"Baron, Rebecca M.",22
"Yu, Paul B.",22
"Condliffe, Alison M.",22
"Summers, Charlotte",199
"Nourshargh, Sussan",22
"Chilvers, Edwin R.",72
"Morrell, Nicholas W.",22
"Su, Vincent Yi-Fong",12
"Chiou, Shih-Hwa",12
"Chen, Wei-Chih",3
"Yu, Wen-Kuang",3
"Wu, Huai-Hsuan",3
"Chen, Hao",3
"Yang, Kuang-Yao",12
"Surolia, Ranu",16
"Li, Fu Jun",16
"Wang, Zheng",16
"Kashyap, Mahendra",16
"Srivastava, Ritesh Kumar",16
"Traylor, Amie M.",16
"Singh, Pooja",16
"Dsouza, Kevin G.",16
"Kim, Harrison",16
"Pittet, Jean-Francois",16
"Zmijewski, Jaroslaw W.",84
"Agarwal, Anupam",16
"Athar, Mohammad",16
"Ahmad, Aftab",16
"Antony, Veena B.",16
"Zhang, Xiao-Xin",0
"Wang, Hao-Yang",0
"Yang, Xue-Fei",0
"Lin, Ziqi",8
"Shi, Na",0
"Chen, Chan-Juan",0
"Yao, Lin-Bo",0
"Yang, Xin-Min",0
"Guo, Jia",0
"Xia, Qing",8
"Xue, Ping",8
"Salimi, Umar",4
"Menden, Heather L.",29
"Mabry, Sherry M.",29
"Xia, Sheng",29
"Sampath, Venkatesh",29
"Zhou, Qun",3
"Jiang, Jianjun",10
"Chen, Guanjun",3
"Qian, Cheng",3
"Ding, Jie",6
"Gao, Lulu",6
"Yang, Zhuocheng",6
"Liu, Yakun",21
"Garron, Tania M.",21
"Chang, Qing",21
"Su, Zhengchen",21
"Zhou, Changcheng",21
"Qiu, Yuan",21
"Gong, Eric C.",21
"Zheng, Junying",21
"Yin, Y. Whitney",21
"Ksiazek, Thomas",21
"Brasel, Trevor",21
"Jin, Yang",114
"Boor, Paul",21
"Comer, Jason E.",21
"Gong, Bin",21
"Quijada, Hector",202
"Bermudez, Tadeo",40
"Valera, Daniel G.",40
"Garcia, Alexander N.",96
"Song, Jin H.",40
"Franco, Evelyn",40
"Burt, Jessica K.",40
"Sun, Belinda",40
"Mascarenhas, Joseph B.",52
"Burns, Kimberlie",40
"Gaber, Amir",40
"Oita, Radu C.",69
"Hernon, Vivian Reyes",40
"Barber, Christy",40
"Moreno-Vinasco, Liliana",359
"Martin, Diego",40
"Liu, Zhonglin",40
"Desai, Ankit A.",209
"Jiang, Lingzhi",7
"Wang, Mingshan",7
"Sun, Renhua",7
"Lin, Zongbin",7
"Liu, Renyang",7
"Cai, Hanhui",7
"Tang, Zhiyun",7
"Zhang, Run",7
"Jiang, Lulu",9
"Hui, Zhao",5
"Jie, Huang",5
"Fan, Guo-Hua",5
"Cha, Boyoung",4
"Kaibuchi, Kozo",4
"Yoshimura, Akihiko",4
"Mitra, Sumegha",45
"Wang, Dong",76
"Dai, Chenyang",3
"Zhang, Xiaoning",13
"Gu, Changping",55
"Liu, Mengjie",45
"Liu, Huan",3
"Yang, Fan",13
"Wu, Haifeng",3
"Wang, Yuelan",55
"Amado-Azevedo, Joana",12
"Valent, Erik T.",12
"Nawaz, Kalim",12
"van Bezu, Jan",46
"Eringa, Etto C.",12
"Hoevenaars, Femke P. M.",12
"De Cuyper, Iris M.",12
"Hordijk, Peter L.",12
"van Hinsbergh, Victor W. M.",92
"van Nieuw Amerongen, Geerten P.",12
"Aman, Jurjan",112
"Feng, Zunyong",20
"Zhou, Jing",20
"Liu, Yinhua",20
"Xia, Ruixue",20
"Li, Qiang",43
"Yan, Liang",20
"Chen, Qun",20
"Chen, Xiaobing",20
"Jiang, Yuxin",20
"Chao, Gao",20
"Wang, Ming",20
"Zhou, Guoren",20
"Zhang, Yijie",24
"Wang, Yongsheng",20
"Xia, Hongping",20
"Cen, Mengyuan",41
"Ouyang, Wei",41
"Zhang, Wanying",41
"Yang, Liping",41
"Lin, Xiuhui",41
"Dai, Min",41
"Hu, Huiqun",41
"Tang, Huifang",57
"Liu, Hongyun",41
"Xia, Jingyan",41
"Xu, Feng",41
"Huang, Zuoting",1
"Tian, Shijing",12
"Yuan, Jianghan",12
"Xu, Jing-Yuan",7
"Chang, Wei",41
"Sun, Qin",7
"Peng, Fei",41
"Sun, Xutong",108
"Yegambaram, Manivannan",46
"Souza, Tacio N.",4
"Santos, Flavio M.",4
"Alves, Polyane R.",4
"Ferro, Jamylle N.",4
"Correia, Ana Carolina C.",4
"Melo, Tarcisio S.",4
"Soares, Wagner R.",4
"Andrade, Bruno S.",4
"Lagente, Vincent",4
"Barreto, Emiliano",4
"Kadry, Rana W.",4
"Adil, Mir S.",4
"Newsome, Andrea Sikora",4
"Somanath, Payaningal R.",33
"McVey, Mark J.",26
"Steinberg, Benjamin E.",26
"Goldenberg, Neil M.",26
"Yokota, Shumpei",20
"Miyamae, Takako",20
"Kuroiwa, Yoshiyuki",20
"Nishioka, Kusuki",20
"Wong, Leanne",11
"Ottolia, Michela",11
"Fujimoto, Shota",18
"Fujita, Yu",18
"Kadota, Tsukasa",18
"Araya, Jun",18
"Kuwano, Kazuyoshi",18
"Feng, Jianguo",4
"Pan, Wei",4
"Yang, Xiaoli",4
"Long, Feiyu",4
"Zhou, Jun",4
"Liao, Yi",4
"Wang, Maohua",4
"Yang, Chun-Li",10
"Yang, Wen-Kai",10
"He, Zhao-Hui",10
"Guo, Jing-Hua",10
"Yang, Xiao-Gang",10
"Li, Hong-Bo",10
"Qiu, Xiaochen",9
"Liang, Xiaobo",9
"Li, Hengyu",9
"Sun, Rongju",9
"Chen, Yin",7
"Wei, Dong",7
"Zhao, Jin",7
"Xu, Xiangnan",7
"Chen, Jingyu",7
"Liu, Yaling",14
"Wang, Xiaodong",14
"Li, Peiying",14
"Zhao, Yanhua",14
"Yang, Liqun",14
"Yu, Weifeng",14
"Xie, Hong",14
"Jiang, Lijing",14
"Ni, Jindi",14
"Shen, Guofeng",14
"Xia, Zhuye",14
"Zhang, Lu",14
"Xia, Shihong",14
"Pan, Shengfu",14
"Qu, Hongping",37
"Li, Xiang",43
"Shan, Yuexin",35
"He, Xiaolin",35
"Yin, Jun",156
"Batah, Sabrina Setembre",140
"Fabro, Alexandre Todorovic",156
"Iruela-Arispe, M. Luisa",41
"Gao, Min",37
"Yu, Tianyi",37
"Liu, Dan",48
"Shi, Yan",37
"Yang, Peilang",37
"Zhang, Jie",37
"Wang, Jizhuang",37
"Liu, Yan",37
"Zhang, Xiong",37
"Li, Pengyi",7
"Gu, Lianbing",7
"Bian, Qingming",7
"Jiao, Dian",7
"Xu, Zeping",7
"Wang, Lijun",7
"Lin, Jie",5
"Lin, Zongze",5
"Lin, Liqun",5
"Liu, Xiaobin",10
"Lv, Meng",10
"Liu, Ge",10
"Garcia-Flores, Alejandro",16
"Song, Shanshan",16
"Kangath, Archana",125
"Cabanillas, Gabriela Zubiate",16
"Fineman, Jeffrey R.",29
"Morris, Gerwyn",33
"Bortolasci, Chiara C.",33
"Puri, Basant K.",33
"Olive, Lisa",33
"Marx, Wolfgang",33
"O'Neil, Adrienne",33
"Athan, Eugene",33
"Carvalho, Andre",33
"Maes, Michael",33
"Walder, Ken",33
"Berk, Michael",33
"Sun, Juan",7
"Thompson, Alessandra F.",1
"Moraes, Lillian",98
"Abreu, Soraia C.",1
"Santos, Cintia Lourenco",67
"de Abreu, Marcelo Gama",124
"Saddy, Felipe",53
"Tong, Yao",1
"Bao, Chengrong",1
"Xu, Yi-Qiong",1
"Tao, Lei",1
"Zhou, Yao",1
"Zhuang, Lei",1
"Meng, Ying",1
"Xue, Jingjing",1
"Wang, Weijun",1
"Zhang, Lele",1
"Pan, Qingbo",1
"Shao, Zhenzhen",1
"Hu, Tianran",1
"Guo, Qian",1
"Xue, Qingsheng",1
"Lu, Han",1
"Luo, Yan",1
"Tu, Qing",12
"Zhu, Yabing",12
"Guo, Long",33
"Liu, Lu",12
"Yao, Liangfang",12
"Zou, Yun",50
"Chen, Feng",90
"Zhang, Liya",0
"Zhu, Zhengyu",0
"Zhang, Qian",0
"Mao, Zhengdao",0
"Zhong, Lizhe",1
"Gao, Xiurong",1
"Chen, Yongli",1
"Yu, Zhaoxiang",1
"Jin, Shuo",1
"Zhu, Chunlei",1
"Mizuta, Yukie",33
"Akahoshi, Tomohiko",33
"Guo, Jie",33
"Zhang, Shuo",33
"Narahara, Sayoko",33
"Kawano, Takahito",33
"Murata, Masaharu",33
"Tokuda, Kentaro",33
"Eto, Masatoshi",33
"Hashizume, Makoto",33
"Yamaura, Ken",33
"Yadav, Pooja",26
"Vats, Ravina",26
"Bano, Afsareen",26
"Bhardwaj, Rashmi",26
"Gomes Santaterra, Vanessa Araujo",7
"Luz Fiusa, Maiara Marx",7
"Hounkpe, Bidossessi Wilfried",7
"Chenou, Francine",7
"Tonasse, Wouitchekpo Vincent",7
"Gomes da Costa, Loredana Nilkenes",7
"Garcia-Weber, Diego",7
"Domingos, Igor de Farias",7
"Araujo, Aderson da Silva",7
"Lucena-Araujo, Antonio Roberto",7
"Cavalcante Bezerra, Marcos Andre",7
"Nunes dos Santos, Magnun Nueldo",7
"Costa, Fernando Ferreira",7
"Millan, Jaime",7
"Wang, Tiantian",12
"Liu, Chunxia",12
"Pan, Ling-hui",12
"Liu, Zhen",12
"Li, Chang-long",12
"Lin, Jin-yuan",12
"He, Yi",12
"Xiao, Jing-yuan",12
"Wu, Siyi",12
"Qin, Yi",22
"Li, Zhao",12
"Lin, Fei",12
"Fang, Zhuoqun",3
"Zhang, Dongliang",3
"Yao, Li",3
"Wu, Gaofeng",3
"Zhang, Zhi",3
"Deng, Xudong",3
"Lin, Tong",14
"Luo, Wenwei",14
"Li, Ziqing",14
"Zhang, Lili",14
"Zheng, Xinghan",14
"Mai, Liting",14
"Yang, Wanqi",14
"Guan, Guimei",14
"Su, Ziren",14
"Liu, Peiqing",14
"Li, Zhuoming",14
"Xie, Youliang",14
"Wang, Shuaiwei",4
"Sun, Yafang",4
"Bai, Yu",4
"Zhou, Nannan",4
"Chen, Na",4
"Miller, Edmund J.",15
"Cao, Yumeng",6
"Chen, Xia",6
"Liu, Yuqi",6
"Zhang, Xingyi",6
"Pan, Xiaojun",14
"Xu, Shunyao",14
"Zhou, Zhen",14
"Wang, Fen",14
"Mao, Lingjie",14
"Li, Hao",36
"Wu, Caixia",14
"Wang, Junfeng",14
"Huang, Yueyue",14
"Li, Dequan",14
"Wang, Cong",14
"Pan, Jingye",27
"Niu, Fangfang",6
"Li, Huafei",6
"Xu, Xiaotao",6
"Sun, Lingling",6
"Gan, Ning",6
"Wang, Aizhong",6
"Yang, Liu",11
"Liu, Sijie",11
"Han, Silu",11
"Hu, Yuhan",11
"Wu, Zhipeng",11
"Shi, Xiaoqian",11
"Pang, Baosen",11
"Ma, Yingmin",11
"Jin, Jiawei",11
"Cleary, Simon J.",22
"Kwaan, Nicholas",22
"Tian, Jennifer J.",22
"Calabrese, Daniel R.",22
"Mallavia, Benat",22
"Magnen, Melia",22
"Greenland, John R.",22
"Urisman, Anatoly",22
"Singer, Jonathan P.",22
"Hays, Steven R.",22
"Kukreja, Jasleen",22
"Hay, Ariel M.",22
"Howie, Heather L.",22
"Toy, Pearl",22
"Lowell, Clifford A.",22
"Morrell, Craig N.",22
"Zimring, James C.",22
"Looney, Mark R.",22
"Conde, Jonas Nascimento",60
"Schutt, William R.",60
"Wen, Xiaoting",45
"Deng, Xinyu",106
"Lee, Lisa K.",22
"Medzikovic, Lejla",22
"Eghbali, Mansoureh",22
"Eltzschig, Holger K.",89
"Yuan, Xiaoyi",22
"Wang, Zhengke",17
"White, Alexis",17
"Wang, Xing",17
"Ko, Junsuk",63
"Choudhary, Gaurav",46
"Lange, Thilo",46
"Rounds, Sharon",220
"Zeeuw van der Laan, Eveline A. N.",14
"van der Velden, Saskia",14
"Porcelijn, Leendert",14
"Semple, John W.",14
"van der Schoot, C. Ellen",14
"Zhao, Gan",17
"Weiner, Aaron, I",17
"Neupauer, Katherine M.",17
"Costa, Maria Fernanda de Mello",17
"Palashikar, Gargi",17
"Adams-Tzivelekidis, Stephanie",17
"Mangalmurti, Nilam S.",106
"Vaughan, Andrew E.",17
"Zhou, Jie",3
"Lian, Huibin",3
"Zhao, Tianlan",3
"Xu, Gang",3
"Li, Jinze",105
"Xu, Xiu-Ping",3
"Mao, Pu",3
"Li, Yi-min",3
"Pan, Chun",24
"Fei, Liming",8
"You, Qinghai",8
"Yu, Yingqing",12
"Sun, Hongzhi",12
"Zhu, Lei",95
"Ji, Lianfeng",12
"Liu, Haibo",12
"Zhou, Gengbiao",16
"Chen, Zhenfeng",5
"Li, Jieyu",5
"Guo, Xiaotong",5
"Qin, Kaiwen",5
"Luo, Jiaqi",5
"Hu, Jiaqing",5
"Huang, Qiaobing",16
"Su, Lei",50
"Guo, Xiaohua",16
"Xu, Qiulin",16
"Chen, Huibin",32
"Hu, Xuemei",32
"Li, Ruiting",32
"Liu, Boyi",32
"Zheng, Xiang",32
"Fang, Zhicheng",32
"Chen, Wei",101
"Min, Li",32
"Hu, Shengli",32
"Hojyo, Shintaro",356
"Uchida, Mona",356
"Tanaka, Kumiko",356
"Hasebe, Rie",356
"Tanaka, Yuki",356
"Murakami, Masaaki",356
"Hirano, Toshio",356
"Friedrich, Emily",11
"Hong, Zhigang",92
"Li, Yijun",1
"Wang, Shun",1
"Liu, Jinbo",1
"Li, Xingyu",1
"Lu, Meng",1
"Wang, Xiaokai",1
"Ren, Yansong",1
"Li, Xiaoming",6
"Xiang, Meng",123
"Mole, Sarah",9
"Harry, Anya",9
"Fowler, Andy",9
"Hotee, Sarah",9
"Warburton, Joseph",9
"Waite, Sarah",9
"Beerahee, Misba",9
"Behm, David J.",9
"Badorrek, Philipp",9
"Mueller, Meike",9
"Faulenbach, Cornelia",9
"Lazaar, Aili L.",9
"Hohlfeld, Jens M.",9
"Yamaoka-Tojo, Minako",48
