Author,Citations
"Zhao, Yue",0
"Jin, Hua",0
"Lei, Kawai",0
"Bai, Li-Ping",0
"Pan, Hudan",0
"Wang, Caiyan",0
"Zhu, Xiaoming",0
"Tang, Yanqing",0
"Guo, Zhengyang",0
"Cai, Jiye",0
"Li, Ting",0
"Lv, Ke",1
"Li, Mingyue",29
"Sun, Chenghong",1
"Miao, Yu",1
"Zhang, Yan",5
"Liu, Yang",43
"Guo, Jianshuang",1
"Meng, Qing",1
"Yao, Jingchun",1
"Zhang, Guimin",1
"Li, Jing",302
"Barabutis, Nektarios",130
"Siejka, Agnieszka",10
"Akhter, Mohammad S.",41
"Monteiro, Ana C. Costa",0
"Matthay, Michael A.",376
"Xavier, Paulo Henrique",2
"Fonseca, Ana Carolina Fernandes",4
"Goncalves, Leonardo Alves",2
"de Sousa, Giselle Cavalho",2
"da Silva, Mariana Coelho",2
"Sacramento, Raquel Ferreira de Magalhaes",2
"Samary, Cynthia dos Santos",84
"Medeiros, Mayck",2
"Cruz, Fernanda Ferreira",28
"Capelozzi, Vera Luiza",107
"Felix, Nathane Satanna",2
"Pelosi, Paolo",187
"Marini, John J.",90
"Rocco, Patricia Rieken Macedo",171
"Silva, Pedro Leme",137
"Chang, Mengling",74
"Yi, Lei",114
"Zhou, Zengding",114
"Yi, Xin",0
"Chen, Hongsai",0
"Liang, Xiao",0
"Jin, Rui",0
"Huang, Xiaoqin",95
"Wu, Zhuhua",0
"Zhu, Li",0
"Nie, Xinran",0
"Liu, Yingli",0
"Zhang, Xiaoju",0
"Qi, Yong",0
"Feng, Chiguang",0
"Cross, Alan S.",0
"Vasta, Gerardo R.",0
"Shen, Kuo",9
"Wang, Xujie",2
"Wang, Yunwei",2
"Jia, Yanhui",9
"Zhang, Yue",2
"Wang, Kejia",2
"Luo, Liang",12
"Cai, Weixia",9
"Li, Jin",74
"Li, Shaohui",2
"Du, Yuting",2
"Zhang, Lixia",2
"Zhang, Hao",2
"Chen, Yuxi",2
"Xu, Chaolei",2
